title,abstract,date_publication,keywords
Spherically symmetric configurations in $f(R)$ gravity: universal  behavior for large scalaron masses,"Abstract: Static spherically symmetric (SSS) configurations in the Einstein's frame of$f(R)$ gravity are studied in the limit of large scalaron mass $\mu$. The mainattention is paid to vacuum solutions describing asymptotically flatastrophysical systems. We note that astrophysical objects usually deal with avery large dimensionless parameter $M\mu$, where $M$ is the total mass, whichallows making analytical approximations. Approximate solutions are obtainedthat describe well the SSS systems in the regions of strong and weak scalaronfields for astrophysically interesting cases; this is confirmed by numericalsimulations. The solutions show a remarkably similar properties for a class ofscalaron potentials in the limit of high $\mu$.",12/4/2024,"['einstein', 'numericalsimulations', 'scalaronfields', 'astrophysical', 'astrophysically']"
Gravitational quantum speed limit,"Abstract: While playing an important role in the foundations of quantum theory, QuantumSpeed Limits (QSL) have no role in discussions about the search for quantumgravity. We fill this gap by analysing what QSL arises when superposingspherically symmetric masses in canonical quantum gravity. By this procedure,we find that the quantum mechanical Mandelstam-Tamm and Margolus-Levitin boundscan be improved by superposing a spherically symmetric, static andasymptotically flat spacetime between states with different ADM energies andmass densities. We discuss the feasibility and significance of measuring timesvia these superpositions.",12/4/2024,"['quantumgravity', 'quantumspeed', 'quantum', 'spacetime', 'abstract']"
Relativistic dissipative fluids in the trace-fixed particle frame:  strongly hyperbolic quasi-linear first-order evolution equations,"Abstract: In this paper we derive a new first-order theory of dissipative fluids byadopting the trace-fixed particle frame. Whereas in a companion paper we showthat this theory is hyperbolic, causal and stable at global equilibrium states,here we prove that the full nonlinear system of equations can be cast into afirst-order quasilinear system which is strongly hyperbolic. By rewriting thesystem in first-order form, auxiliary constraints are introduced. However, weshow that these constraints propagate, and thus our theory leads to awell-posed Cauchy problem.",12/4/2024,"['rewriting', 'equations', 'new', 'theory', 'showthat']"
"Relativistic dissipative fluids in the trace-fixed particle frame:  hyperbolicity, causality and stability","Abstract: We propose a first-order theory of dissipative fluids in the trace-fixedparticle frame, which is similar to Eckart's frame except that the temperatureis determined by fixing the trace of the stress-energy tensor. Our theory ishyperbolic and causal provided a single inequality holds. For low wave numbers,the expected damped modes in the shear, acoustic, and heat diffusion channelsare recovered. Stability of global equilibria with respect to all wave numbersis also analyzed. The conditions for hyperbolicity, causality and stability aresatisfied for a simple gas of hard spheres or disks.",12/4/2024,"['gas', 'tensor', 'fluids', 'fixedparticle', 'equilibria']"
"GRoovy: A General Relativistic Hydrodynamics Code for Dynamical  Spacetimes with Curvilinear Coordinates, Tabulated Equations of State, and  Neutrino Physics","Abstract: Many astrophysical systems of interest to numerical relativity, such asrapidly rotating stars, black hole accretion disks, and core-collapsesupernovae, exhibit near-symmetries. These systems generally consist of astrongly gravitating central object surrounded by an accretion disk, debris,and ejecta. Simulations can efficiently exploit the near-axisymmetry of thesesystems by reducing the number of points in the angular direction around thenear-symmetry axis, enabling efficient simulations over seconds-long timescaleswith minimal computational expense. In this paper, we introduce GRoovy, a novelcode capable of modeling astrophysical systems containing compact objects bysolving the equations of general relativistic hydrodynamics (GRHD) in fullgeneral relativity using singular curvilinear (spherical-like andcylindrical-like) and Cartesian coordinates. We demonstrate the code'srobustness through a battery of challenging GRHD tests, ranging from flat,static spacetimes to curved, dynamical spacetimes. These tests further showcasethe code's capabilities in modeling systems with realistic, finite-temperatureequations of state and neutrino cooling via a leakage scheme. GRoovyextensively leverages GRHayL, an open-source, modular, andinfrastructure-agnostic general relativistic magnetohydrodynamics library builtfrom the highly robust algorithms of IllinoisGRMHD. Long-term simulations ofbinary neutron star and black hole-neutron star post-merger remnants willbenefit greatly from GRoovy to study phenomena such as remnant stability,gamma-ray bursts, and nucleosynthesis.",12/4/2024,"['astrophysical', 'spacetimes', 'neutrino', 'magnetohydrodynamics', 'algorithms']"
A Systematic Lagrangian Formulation for Quantum and Classical Gravity at  High Energies,"Abstract: We derive a systematic Lagrangian approach for quantum gravity in thesuper-Planckian limit where $s\gg M_{pl}^2\gg t$. The action can be used tocalculate to arbitrary accuracy in the quantum and classical expansionparameters $\alpha_Q= \frac{t}{M_{pl}^2}$ and $\alpha_C= \frac{st}{M_{pl}^4}$,respectively, for the scattering of massless particles. The perturbative seriescontains powers of $\log(s/t)$ which can be resummed using a rapidityrenormalization group equation (RRGE) that follows from a factorization theoremwhich allows us to write the amplitude as a convolution of a soft and collinearjet functions. We prove that the soft function is composed of an infinite towerof operators which do not mix under rapidity renormalization. The running ofthe leading order (in $G$) operator leads to the graviton Regge trajectorywhile the next to leading operator running corresponds to the gravitationalBFKL equation. For the former, we find agreement with one of the two resultspreviously presented in the literature, while for the ladder our result agrees(up to regulator dependent pieces) with those of Lipatov. We find that theconvolutive piece of the gravitational BFKL kernel is the square of that ofQCD. The power counting simplifies considerably in the classical limit where wecan use our formalism to extract logs at any order in the PM expansion. Theleading log at any order in the PM expansion can be calculated without goingbeyond one loop. The log at $(2N+1)$ order in the Post-Minkowskian expansionfollows from calculating the one loop anomalous dimension for the $N+1$th orderpiece of the soft function and perturbatively solving the RRGE $N-1$ times. Thefactorization theorem implies that the classical logs which arise alternatebetween being real and imaginary in nature as $N$ increases.",12/5/2024,"['expansionparameters', 'quantum', 'planckian', 'gravitationalbfkl', 'theoremwhich']"
Restricted Phase Space Thermodynamics of 4D Dyonic AdS Black Holes:  Insights from Kaniadakis Statistics and Emergence of Superfluid  $λ$-Phase Transition,"Abstract: We study the thermodynamics of $4D$ dyonic AdS black hole in the Kaniadakisstatistics framework using the Restricted Phase Space (RPST) formalism. Thisframework provides a non-extensive extension of classical statisticalmechanics, drawing inspiration from relativistic symmetries and presenting afresh perspective on black hole thermodynamics. Our study analyzes howincluding Kaniadakis entropy modifies the phase transition of the dyonic blackholes. We consider the central charge $C$ and its conjugate chemical potential$\mu$ as the thermodynamic variable along with others except the pressure andvolume. Due to the addition of the magnetic charge $\tilde{Q}_m$, the study ofthe phase transition becomes much richer by obtaining a non-equilibrium phasetransition from an unstable small black hole to a stable large black hole alongwith the Van der Waals phase transition in the $T-S$ processes. In the $F-T$plot, we get an extra Hawking-Page phase transition. Including the deformationparameter $\kappa$ introduces an unstable (ultra-large BH) branch seen inalmost all the plots. Turning off the magnetic charge flips the direction ofthe phase transition seen during its presence. We observe a novel phenomenonthat is the superfluid $\lambda$ phase transition in the mixed$(\tilde{\Phi}_e,\tilde{Q}_m)$ which is due to the additional $\tilde{Q}_m$inclusion. Also, in the plots varying $\kappa$ match with the plot varying $C$which underlines some sort of correspondence in its meaning which is notpossible to observe in Gibbs-Boltzmann statistics. As the entropy models changethe homogeneity is not lost where mass is of the first order and the rest iszeroth order. Finally, the $\mu-C$ processes in quite similar across black holesystems and entropy formulation marking some kind of universality of thisprocess.",12/5/2024,"['thermodynamics', 'thermodynamic', 'statisticalmechanics', 'holesystems', 'boltzmann']"
Lorentzian metric spaces and GH-convergence: the unbounded case,"Abstract: We introduce a notion of Lorentzian metric space which drops the boundednesscondition from our previous work and argue that the properties defining ourspaces are minimal. In fact, they are defined by three conditions given by (a)the reverse triangle inequality for chronologically related events, (b)Lorentzian distance continuity and relative compactness of chronologicaldiamonds, and (c) a distinguishing condition via the Lorentzian distancefunction. By adding a countably generating condition we confirm the validity ofdesirable properties for our spaces including the Polish property. Thedefinition of (pre)length space given in our previous work on the bounded caseis generalised to this setting. We also define a notion of Gromov-Hausdorffconvergence for Lorentzian metric spaces and prove that (pre)length spaces areGH-stable. It is also shown that our (sequenced) Lorentzian metric space bringa natural quasi-uniformity (resp.\ quasi-metric). Finally, an explicitcomparison with other recent constructions based on our previous work onbounded Lorentzian metric spaces is presented.",12/5/2024,"['hausdorffconvergence', 'chronologicaldiamonds', 'distancefunction', 'lorentzian', 'drops']"
"Traversable wormhole for string, but not for particle","Abstract: We propose a Lorentzian wormhole geometry characterized by a closed stringmassless sector with nontrivial $H$-flux and a scalar dilaton. In the stringframe, the dilaton exhibits a negative kinetic term, enabling the existence ofthe wormhole. The geometry consists of three distinct regions. The middleregion contains the throat, and its boundaries with the other two regions formnon-Riemannian two-spheres, where a fundamental string becomes chiral, akin toa non-relativistic string. While point-particle geodesics are complete withineach region and non-traversable across regions, strings perceive the geometrydifferently, allowing a chiral string to traverse freely.",12/5/2024,"['stringmassless', 'wormhole', 'geometrydifferently', 'riemannian', 'stringframe']"
"A $Λ$CDM Extension Explaining the Hubble Tension and the Spatial  Curvature $Ω_{k,0} = -0.012 \pm 0.010$ Measured by the Final PR4 of the  Planck Mission","Abstract: The measurements of the CMB have determined the cosmological parameters withhigh accuracy, and the observation of the flatness of space have contributed tothe status of the concordance $\Lambda$CDM model. However, the cosmologicalconstant $\Lambda$, necessary to close the model to critical density, remainsan open conundrum. We explore the observed late-time accelerated expansion ofthe Universe, where we consider that the Friedmann equation describes theexpansion history of FLRW universes in the local reference frame of freelyfalling comoving observers, which perceive flat, homogeneous and isotropicspace in their local inertial system, where, as a consequence of theequivalence principle, special relativity applies. We use this fact to proposean extension to $\Lambda$CDM, incorporating the initial conditions of thebackground universe, comprising the initial energy densities as well as theinitial post big bang expansion rate. The observed late-time acceleratedexpansion is then attributed to a kinematic effect akin to a dark energycomponent. Choosing the same $\Omega_{m,0} \simeq 0.3$ as $\Lambda$CDM, itsequation of state $w_{de} \simeq -0.8$. Furthermore, we include the impact onthe expansion history caused by the cosmic web of the late Universe, once voidsdominate its volume, and find that the initially constant $w_{de}$ becomestime-dependent, evolving to a value of $w_{de} \simeq -0.9$ at the present.While this impact by voids is minor, it is sufficient to provide a solution tothe Hubble tension problem. We use CLASS to calculate the expansion history andpower spectra of our extension and compare our results to concordance$\Lambda$CDM and to observations. We find that our model agrees well withcurrent data, in particular with the final data release PR4 of the Planckmission, where it explains the reported spatial curvature of $\Omega_{k,0} = -0.012 \pm 0.010$.",12/5/2024,"['cosmologicalconstant', 'cosmological', 'relativity', 'planckmission', 'cosmic']"
Bound of Casimir Effect by Holography,"Abstract: Inspired by the Kovtun-Son-Starinet bound, we propose that holography imposea lower bound on the Casimir effect. For simplicity, we focus on the Casimireffect between parallel planes for 3d conformal field theories and brieflycomment on the generalizations to other boundary shapes and higher dimensions.Remarkably, the ghost-free holographic models impose a universal lower bound ofthe Casimir effect. We verify the holographic bound by free theories, Isingmodel, and $O(N)$ model with $N=2,3$ at critical points. Remarkably, theholographic bound is also obeyed by a general class of quantum field theorieswithout conformal symmetries. It is interesting to find a field-theoreticalproof or counterexample for the holographic bound of Casimir effect.",12/5/2024,"['theorieswithout', 'counterexample', 'casimireffect', 'holography', 'quantum']"
The essential self-adjointness of the wave operator on radiative  spacetimes,"Abstract: We prove the essential self-adjointness of the d'Alembertian $\square_g$,allowing a larger class of spacetimes than previously considered, includingthose that arise from perturbing Minkowski spacetime by gravitationalradiation. We emphasize the fact, proven by Taira in closely related settings,that all tempered distributions $u$ satisfying $\square_g u = \lambda u +f$ for$\lambda\in \mathbb{C}\backslash \mathbb{R}$ and $f$ Schwartz are Schwartz. Theproof is fully microlocal and relatively quick given the ``de,sc-'' machineryrecently developed by the third author.",12/5/2024,"['gravitationalradiation', 'spacetimes', 'spacetime', 'mathbb', 'lambda']"
The spectrum of near-BPS Kerr-Newman black holes and the ABJM mass gap,"Abstract: Supersymmetric rotating 1/16-BPS black holes in $AdS_4 \times S^7$ areexpected to capture the average degeneracy of BPS states in the dual ABJMsuperconformal theory for given fixed charges. This has been successfullydemonstrated for the superconformal index using complexified black holemetrics, but a naive Gibbons-Hawking calculation of the actual degeneracies inthe low temperature limit is invalid due to large quantum fluctuations of thenear horizon $AdS_2$ metric. We argue that in a particular mixedgrand/canonical ensemble, these fluctuations of the near-BPS Kerr-Newman blackholes are described by a version of the $\mathcal{N}=2$ super-Schwarzian theorywith $SU(1,1|1)$ symmetry. Using this description as well as properties ofABJM, we recover the large $N$ superconformal index and find a characteristic``mass gap'' of order $N^{-3/2}$ between the 1/16-BPS states and the lightestnear BPS state. We further make a prediction for the operator dimensionspectrum above the gap in the large $N$, low $T$ limit. Our results areconsistent with the Bekenstein-Hawking formula at large energies, random matrixtheory at low energies, and the microscopic index.",12/4/2024,"['blackholes', 'holemetrics', 'quantum', 'black', 'supersymmetric']"
Mixed 't Hooft Anomalies and the Witten Effect for AdS Black Holes,"Abstract: For a variety of BPS black holes in string theory, the supersymmetric indexhas provided a microscopic validation of the Bekenstein-Hawking formula. In thenear-BPS limit, a gravitational path integral analysis previously revealed thesemiclassical spectrum is modified, having a large extremal degeneracy(consistent with the index) and a mass gap up to a continuum of non-BPS blackholes. Presently, we study examples in which these sharp features of thespectrum are altered due to the presence of anomalies in the form of$\vartheta$-angle terms in the action. These may appear generally, but we focuson near-BPS dyonic AdS$_4$ black holes in M-theory, dual to 3d $\mathcal{N}=2$SCFTs of Class $R$ obtained by twisted compactification of $N$ wrapped M5branes. Due to the Witten effect, the dyonic black holes receive quantumcorrections to their charges, and when $\vartheta = \pi$ one may find a mixed`t Hooft anomaly between the $U(1)_R$ and $\mathbb{Z}_2$ time reversalsymmetries. Using results from $\mathcal{N}=2$ JT supergravity, we find theseeffects result in a spectrum in which both the gap and index are reduced, andmay even vanish. Surprisingly, for $\vartheta \rightarrow \pi$, neither theBekenstein-Hawking formula nor the index correctly account for the extremaldegeneracies.",12/4/2024,"['quantumcorrections', 'blackholes', 'supersymmetric', 'reversalsymmetries', 'gravitational']"
The Diagonal Approximation for Holographic Rényi Entropies,"Abstract: Recently Dong, Rath and Kudler-Flam proposed a modified cosmic braneprescription for computing the R\'{e}nyi entropy $S_\alpha$ of a holographicsystem in the presence of multiple extremal surfaces. This prescription wasfound by assuming a diagonal approximation, where the R\'{e}nyi entropy iscomputed after first measuring the areas of all extremal surfaces. We derivethis diagonal approximation and show that it accurately computes R\'{e}nyientropies up to $O(\log G)$ corrections. For $\alpha<1$, this allows us toderive the modified cosmic brane prescription, which differs from the originalcosmic brane prescription at leading order in $G$. For $\alpha>1$, it leads tothe original cosmic brane prescription without needing to assume that replicasymmetry is unbroken in the bulk.",12/4/2024,"['replicasymmetry', 'holographicsystem', 'cosmic', 'computing', 'braneprescription']"
Precision calibration of calorimeter signals in the ATLAS experiment  using an uncertainty-aware neural network,Abstract: The ATLAS experiment at the Large Hadron Collider explores the use of modernneural networks for a multi-dimensional calibration of its calorimeter signaldefined by clusters of topologically connected cells (topo-clusters). TheBayesian neural network (BNN) approach not only yields a continuous and smoothcalibration function that improves performance relative to the standardcalibration but also provides uncertainties on the calibrated energies for eachtopo-cluster. The results obtained by using a trained BNN are compared to thestandard local hadronic calibration and to a calibration provided by training adeep neural network. The uncertainties predicted by the BNN are interpreted inthe context of a fractional contribution to the systematic uncertainties of thetrained calibration. They are also compared to uncertainty predictions obtainedfrom an alternative estimator employing repulsive ensembles.,12/5/2024,"['modernneural', 'neural', 'collider', 'ensembles', 'calibration']"
Search for heavy neutral resonances decaying to tau lepton pairs in  proton-proton collisions at $\sqrt{s}$ = 13 TeV,"Abstract: A search for heavy neutral gauge bosons (Z') decaying into a pair of tauleptons is performed in proton-proton collisions at $\sqrt{s}$ = 13 TeV at theCERN LHC. The data were collected with the CMS detector and correspond to anintegrated luminosity of 138 fb$^{-1}$. The observations are found to be inagreement with the expectation from standard model processes. Limits at 95%confidence level are set on the product of the Z' production cross section andits branching fraction to tau lepton pairs for a range of Z' boson masses. Fora narrow resonance in the sequential standard model scenario, a Z' boson with amass below 3.5 TeV is excluded. This is the most stringent limit to date fromthis type of search.",12/5/2024,"['proton', 'lhc', 'lepton', 'tauleptons', '138']"
Modification on thermal motion in Geant4 for neutron capture simulation  in Gadolinium loaded water,"Abstract: Neutron tagging is a fundamental technique for electron anti-neutrinodetection via the inverse beta decay channel. A reported discrepancy in neutrondetection efficiency between observational data and simulation predictionsprompted an investigation into neutron capture modeling in Geant4. The studyrevealed that an overestimation of the thermal motion of hydrogen atoms inGeant4 impacts the fraction of captured nuclei. By manually modifying theGeant4 implementation, the simulation results align with calculations based onevaluated nuclear data and show good agreement with observables derived fromthe SK-Gd data.",12/5/2024,"['neutrondetection', 'neutrinodetection', 'neutron', 'nuclear', 'studyrevealed']"
First detection of a tagged neutrino in the NA62 experiment,Abstract: The NA62 experiment at the CERN SPS reports the first detection of a taggedneutrino candidate based on the data collected in 2022. The candidate consistsof a $K^+ \rightarrow \mu^+ \nu_\mu$ decay where the charged particles arereconstructed and the neutrino is detected through a charged-currentinteraction in a liquid krypton calorimeter.,12/5/2024,"['2022', 'taggedneutrino', 'neutrino', 'krypton', 'currentinteraction']"
Performance study for anisotropic flow measurements in the MPD (NICA)  experiment with fixed target,Abstract: Studying the properties of strongly-interacting matter at high relativebaryon densities is one of the key scientific goals of the MPD (Multi-PurposeDetector) experiment at the NICA accelerator complex. The performance ofmeasuring the azimuthal collective flow of identified charged hadrons at theMPD facility in fixed-target mode is studied in this work.,12/5/2024,"['accelerator', 'scientific', 'studying', 'purposedetector', 'experiment']"
Model-agnostic search for dijet resonances with anomalous jet  substructure in proton-proton collisions at $\sqrt{s}$ = 13 TeV,"Abstract: This paper presents a model-agnostic search for narrow resonances in thedijet final state in the mass range 1.8-6 TeV. The signal is assumed to producejets with substructure atypical of jets initiated by light quarks or gluons,with minimal additional assumptions. Search regions are obtained by utilizingmultivariate machine-learning methods to select jets with anomaloussubstructure. A collection of complementary anomaly detection methods - basedon unsupervised, weakly supervised, and semisupervised algorithms - are used inorder to maximize the sensitivity to unknown new physics signatures. Thesealgorithms are applied to data corresponding to an integrated luminosity of 138fb$^{-1}$, recorded by the CMS experiment at the LHC, at a center-of-massenergy of 13 TeV. No significant excesses above background expectations areseen. Exclusion limits are derived on the production cross section of benchmarksignal models varying in resonance mass, jet mass, and jet substructure. Manyof these signatures have not been previously sought, making several of thelimits reported on the corresponding benchmark models the first ever. Whencompared to benchmark inclusive and substructure-based search strategies, theanomaly detection methods are found to significantly enhance the sensitivity toa variety of models.",12/4/2024,"['algorithms', 'physics', 'utilizingmultivariate', 'producejets', 'thedijet']"
Reconstruction of boosted and resolved multi-Higgs-boson events with  symmetry-preserving attention networks,"Abstract: The production of multiple Higgs bosons at the CERN LHC provides a direct wayto measure the trilinear and quartic Higgs self-interaction strengths as wellas potential access to beyond the standard model effects that can enhanceproduction at large transverse momentum $p_{\mathrm{T}}$. The largest eventfraction arises from the fully hadronic final state in which every Higgs bosondecays to a bottom quark-antiquark pair ($b\bar{b}$). This introduces acombinatorial challenge known as the \emph{jet assignment problem}: assigningjets to sets representing Higgs boson candidates. Symmetry-preserving attentionnetworks (SPA-Nets) have been been developed to address this challenge.However, the complexity of jet assignment increases when simultaneouslyconsidering both $H\rightarrow b\bar{b}$ reconstruction possibilities, i.e.,two ""resolved"" small-radius jets each containing a shower initiated by a$b$-quark or one ""boosted"" large-radius jet containing a merged showerinitiated by a $b\bar{b}$ pair. The latter improves the reconstructionefficiency at high $p_{\mathrm{T}}$. In this work, we introduce ageneralization to the SPA-Net approach to simultaneously consider both boostedand resolved reconstruction possibilities and unambiguously interpret an eventas ""fully resolved'', ""fully boosted"", or in between. We report the performanceof baseline methods, the original SPA-Net approach, and our generalized versionon nonresonant $HH$ and $HHH$ production at the LHC. Considering both boostedand resolved topologies, our SPA-Net approach increases the Higgs bosonreconstruction purity by 57--62\% and the efficiency by 23--38\% compared tothe baseline method depending on the final state.",12/5/2024,"['quark', 'mathrm', 'attentionnetworks', 'reconstructionefficiency', 'bosons']"
Darkonia at Colliders,"Abstract: Dark matter may form bound states in a dark sector with an attractive forcebetween two dark matter particles. Searches for dark matter at colliders candiffer dramatically from routine searches if bound states, dubbed darkonia, areproduced and decay into visible Standard-Model particles. In this work, we usethree representative models with scalar, pseudo-scalar, and vector forcecarriers to map out the darkonium signatures at both high-energy and low-energycolliders. Some of the bound states can be stable due to generalized parity andcharge-conjugation symmetries, while others decay into light dark-forcecarriers, which subsequently can decay at a displaced vertex. New signatureswith a mix of missing energy and multiple di-lepton or di-jet verticesreconstructing intermediate darkonium resonances are within reach at the LHCand Belle II.",12/4/2024,"['colliders', 'energycolliders', 'symmetries', 'darkonia', 'darkonium']"
Interpreting Transformers for Jet Tagging,"Abstract: Machine learning (ML) algorithms, particularly attention-based transformermodels, have become indispensable for analyzing the vast data generated byparticle physics experiments like ATLAS and CMS at the CERN LHC. ParticleTransformer (ParT), a state-of-the-art model, leverages particle-levelattention to improve jet-tagging tasks, which are critical for identifyingparticles resulting from proton collisions. This study focuses on interpretingParT by analyzing attention heat maps and particle-pair correlations on the$\eta$-$\phi$ plane, revealing a binary attention pattern where each particleattends to at most one other particle. At the same time, we observe that ParTshows varying focus on important particles and subjets depending on decay,indicating that the model learns traditional jet substructure observables.These insights enhance our understanding of the model's internal workings andlearning process, offering potential avenues for improving the efficiency oftransformer architectures in future high-energy physics applications.",12/4/2024,"['transformermodels', 'physics', 'algorithms', 'particletransformer', 'particleattends']"
Tribute to Henry Primakoff:Tests of Chiral Perturbation Theory via  Primakoff Reactions,"Abstract: Henry Primakoff founded a field of study based on the scattering of very highenergy particles (pions, kaons, {\gamma} gamma-rays) from photon targets,{\gamma}* virtual photons in the Coulomb field of an atomic nucleus. Primakoffwas the first to describe how to determine the {\pi}0 lifetime by measuring the{\gamma}{\gamma}* -> {\pi}0 production cross section. For the case that a highenergy (190 GeV/c) pion beam is used, Primakoff scattering, viewed in the restframe of the pion, is effectively low-energy soft scattering of ~250 MeV gammarays from a pion at rest. Together, low-energy soft scattering and high-energyhard scattering studies play crucial complementary roles in testing the QuantumChromodynamics (QCD) framework. A short description is presented of Primakoff'sscientific career and personal life. Here, we focus on a review of PrimakoffScattering studies of pion polarizability and the {\gamma}->{\pi}{\pi}{\pi}chiral anomaly at CERN COMPASS, and of the {\pi}0 lifetime at JeffersonLaboratory (Jlab). Following a brief review of Chiral Perturbation Theory(ChPT), we discuss the good agreement of the results of these studies with2-flavor (u,d) ChPT predictions. We discuss why Primakoff studies at CERN AMBERfor kaon polarizability and {\gamma}->{\pi}{\pi}{\eta} and {\gamma}->KK{\pi}chiral anomalies, and at Jlab for the {\pi}0 and {\eta} lifetimes, areimportant for validating the theoretical framework of 3-flavor (u,d,s) ChPT.The transition from 2-flavor to 3-flavor ChPT incorporates the strange quark,which is crucial for understanding the full dynamics of the light mesons(pions, kaons, and etas). By comparing 3-flavor ChPT predictions with data forkaons, {\pi}0 and {\eta}, it will be possible to assess how well the modelcaptures the interplay of the additional flavor and the effects of strangequarks.",12/4/2024,"['quantumchromodynamics', 'highenergy', 'photon', 'photons', 'gammarays']"
Direct Deflection of Millicharged Radiation,"Abstract: Millicharged particles are generic in theories of dark sectors. A cosmic orlocal abundance of them may be produced by the early universe, stellarenvironments, or the decay or annihilation of dark matter/dark energy.Furthermore, if such particles are light, these production channels result in abackground of millicharged radiation. We show that light-shining-through-wallexperiments employing superconducting RF cavities can also be used as ``directdeflection"" experiments to search for this relativistic background. Themillicharged plasma is first subjected to an oscillating electromagnetic fieldof a driven cavity, which causes charge separation in the form of charge andcurrent perturbations. In turn, these perturbations can propagate outwards andresonantly excite electromagnetic fields in a well-shielded cavity placednearby, enabling detection. We estimate that future versions of the existingDark SRF experiment can probe orders of magnitude of currently unexploredparameter space, including millicharges produced from the Sun, the cosmicneutrino background, or other mechanisms that generate a thermal abundance withenergy density as small as $\sim 10^{-4}$ that of the cosmic microwavebackground.",12/4/2024,"['cosmicneutrino', 'radiation', 'stellarenvironments', 'plasma', 'cosmic']"
Searches for exotic spin-dependent interactions with spin sensors,"Abstract: Numerous theories have postulated the existence of exotic spin-dependentinteractions beyond the Standard Model of particle physics. Spin-based quantumsensors, which utilize the quantum properties of spins to enhance measurementprecision, emerge as powerful tools for probing these exotic interactions.These sensors encompass a wide range of technologies, such as optically pumpedmagnetometers, atomic comagnetometers, spin masers, nuclear magnetic resonance,spin amplifiers, and nitrogen-vacancy centers. These technologies stand out fortheir ultrahigh sensitivity, compact tabletop design, and cost-effectiveness,offering complementary approaches to the large-scale particle colliders andastrophysical observations. This article reviews the underlying physicalprinciples of various spin sensors and highlights the recent theoretical andexperimental progress in the searches for exotic spin-dependent interactionswith these quantum sensors. Investigations covered include the exoticinteractions of spins with ultralight dark matter, exotic spin-dependentforces, electric dipole moment, spin-gravity interactions, and among others.Ongoing and forthcoming experiments using advanced spin-based sensors toinvestigate exotic spin-dependent interactions are discussed.",12/4/2024,"['quantumsensors', 'pumpedmagnetometers', 'physics', 'quantum', 'exoticinteractions']"
First Measurement of the Muon Neutrino Interaction Cross Section and  Flux as a Function of Energy at the LHC with FASER,"Abstract: This letter presents the measurement of the energy-dependent neutrino-nucleoncross section in tungsten and the differential flux of muon neutrinos andanti-neutrinos. The analysis is performed using proton-proton collision data ata center-of-mass energy of $13.6 \, {\rm TeV}$ and corresponding to anintegrated luminosity of $(65.6 \pm 1.4) \, \mathrm{fb^{-1}}$. Using the activeelectronic components of the FASER detector, $338.1 \pm 21.0$ charged currentmuon neutrino interaction events are identified, with backgrounds from otherprocesses subtracted. We unfold the neutrino events into a fiducial volumecorresponding to the sensitive regions of the FASER detector and interpret theresults in two ways: We use the expected neutrino flux to measure the crosssection, and we use the predicted cross section to measure the neutrino flux.Both results are presented in six bins of neutrino energy, achieving the firstdifferential measurement in the TeV range. The observed distributions alignwith Standard Model predictions. Using this differential data, we extract thecontributions of neutrinos from pion and kaon decays.",12/4/2024,"['neutrinos', 'neutrino', 'tungsten', 'nucleoncross', 'proton']"
Overview of the latest ALICE UPC and photonuclear results,"Abstract: Ultra-peripheral collisions (UPC) are events characterised by large impactparameters between the two projectiles, larger than the sum of their radii. InUPCs, the protons and ions accelerated by the LHC do not interact via thestrong interaction and can be regarded as sources of quasireal photons. Usingthe Run 2 data, the ALICE Collaboration has carried out various measurements ofdifferent final-state systems, such as exclusive four pion photoproduction aswell as photoproduction of $K^+K^-$ pairs, measured for the first time inultra-peripheral collisions. In addition, vector meson production in Pb--Pbprovides the unique opportunity to carry out an analogy of the double-slitexperiment at femtometre scales, owing to the interference between theproduction sources of the two lead nuclei. These results and prospects for UPCmeasurements using Run 3 data will be presented.",12/4/2024,"['protons', 'impactparameters', 'photons', 'ions', 'collisions']"
The cross section of inverse beta decay,Abstract: We discuss the accuracy of the evaluation of the cross section for inversebeta decay at low energies and its relevance in the current experimentalframework.,12/4/2024,"['experimentalframework', 'evaluation', 'inversebeta', 'decay', 'accuracy']"
Soft QCD Physics at the LHC: highlights and opportunities,"Abstract: The Large Hadron Collider (LHC) at CERN in Switzerland became operational in2009 and has since then produced a plethora of results for proton-proton (pp)collisions. This short review covers results that relates to soft QCD focusingon non-diffractive physics at mid-rapidity. Most of the presented results comesfrom transverse momentum ($p_{\rm T}$) spectra and related/derived observablessuch as multiplicity, $\langle p_{\rm T} \rangle$ and ratios, but also theobserved ``ridge'' and the questions of quark-gluon plasma in pp collisionswill be discussed. The goal of the review is on one hand to introduce thetopics and provide references for scientists joining the LHC program while atthe same time highlighting what we consider the most interesting results andopen questions to inspire novel measurements.",12/3/2024,"['physics', 'in2009', 'scientists', 'switzerland', 'plasma']"
